priority,doi,url,publisher,journal,title,what_to_fetch,where_on_the_page,why_it_is_wanted,largest_count_in_abstract
1,10.1016/j.ijbiomac.2026.150813,https://doi.org/10.1016/j.ijbiomac.2026.150813,Elsevier,International journal of biological macromolecules,Engineering the substrate tunnel of diacylglycerol acyltransferase ScDGA1 enhances triacylglycerol biosynthesis in Saccharomyces cerevisiae.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis; alanine scanning; alanine scan,
1,10.1021/acs.jafc.5c05633,https://doi.org/10.1021/acs.jafc.5c05633,ACS,Journal of agricultural and food chemistry,Rational Molecular Design for Improved ZHD101 Thermal Stability Based on the Introduction of Disulfide Bonds at the Dimer Interface and B-Factor Analysis.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.5c05633,saturation mutagenesis; mutant library,
1,10.1021/acs.jafc.6c01356,https://doi.org/10.1021/acs.jafc.6c01356,ACS,Journal of agricultural and food chemistry,Semirational Engineering of Chitinase Chi1 to Enhance the Catalytic Activity for Efficient Chitin Degradation.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c01356,site-saturation; saturation mutagenesis; alanine scanning; alanine scan,
1,10.1021/acs.jafc.6c01482,https://doi.org/10.1021/acs.jafc.6c01482,ACS,Journal of agricultural and food chemistry,Rational Design of Agmatinase SpeB and Spermidine Synthase SpeE Enhances Spermidine Production in Bacillus amyloliquefaciens.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c01482,alanine scanning; alanine scan,
1,10.1021/acs.jafc.6c01578,https://doi.org/10.1021/acs.jafc.6c01578,ACS,Journal of agricultural and food chemistry,Engineering an l-Threonine Aldolase from &lt;i&gt;Staphylococcus epidermidis&lt;/i&gt; for Enhanced Diastereoselectivity in the Synthesis of a Chloramphenicol Intermediate.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c01578,saturation mutagenesis; alanine scanning; alanine scan,
1,10.1021/acs.jafc.6c01890,https://doi.org/10.1021/acs.jafc.6c01890,ACS,Journal of agricultural and food chemistry,Mechanism of Efficient (-)-Epigallocatechin Biosynthesis Catalyzed by &lt;i&gt;Torreya grandis&lt;/i&gt; ANR (TgANR) and Its Protein Engineering Modification.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c01890,alanine scanning; alanine scan,
1,10.1021/acs.jafc.6c03378,https://doi.org/10.1021/acs.jafc.6c03378,ACS,Journal of agricultural and food chemistry,"Methyltransferase ""Gating Loop"" Reengineering: Reshaping Catalytic Performance through Tunnel Dynamics and Structural Flexibility.",article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c03378,saturation mutagenesis; alanine scanning; alanine scan,
1,10.1021/acs.jafc.6c04485,https://doi.org/10.1021/acs.jafc.6c04485,ACS,Journal of agricultural and food chemistry,Co-Evolution of the Activity and Thermostability of (R)-Transaminase AcTA by Data-Driven Exploration of Combinatorial Mutagenesis,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c04485,"25 combinatorial variants experimentally tested, 18 improved - all measured, above the 20-variant floor",25
1,10.1021/acs.jctc.6c00821,https://doi.org/10.1021/acs.jctc.6c00821,ACS,Journal of chemical theory and computation,EZPro-Multi: Contrastive Learning-Enhanced Multi-property Prediction for Enzyme Engineering.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jctc.6c00821,deep mutational scan; mutational scanning,
1,10.1038/s41589-026-02224-y,https://doi.org/10.1038/s41589-026-02224-y,Nature,Nature chemical biology,Dual E3 ligase recruitment by monovalent degraders for tunable SMARCA 2/4 degradation.,article PDF + all supplementary data files,"the Supplementary information section low on the article page, plus any Source Data links under the figure captions",deep mutational scan; mutational scanning,
1,10.13345/j.cjb.260112,https://doi.org/10.13345/j.cjb.260112,publisher,Sheng wu gong cheng xue bao = Chinese journal of biotechnology,[Catalytic synthesis of dihydroavenanthramide D by lipase RWL].,article PDF + all supplementary data files,the article's supplementary section,saturation mutagenesis; alanine scanning; alanine scan,
2,10.1021/acssynbio.6c00196,https://doi.org/10.1021/acssynbio.6c00196,ACS,ACS synthetic biology,Breaking the Stability-Activity-Selectivity Trilemma in Unspecific Peroxygenase through Computation-Based Cross-Regional Combinatorial Mutagenesis.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acssynbio.6c00196,saturation mutagenesis,
2,10.1002/anie.202521396,https://doi.org/10.1002/anie.202521396,Wiley,Angewandte Chemie (International ed. in English),A Multimodal Ensemble Framework for Optimal Mutant Prediction and Computational Enzyme Engineering.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,mutational landscape,
2,10.1007/s12010-025-05551-3,https://doi.org/10.1007/s12010-025-05551-3,Springer,Applied biochemistry and biotechnology,Semi-Rational Design of a Deep-Sea Metagenomic Sucrose Phosphorylase for Enhanced α-Arbutin Biosynthesis.,article PDF + all supplementary data files,the Supplementary Information section at the foot of the page,saturation mutagenesis,
2,10.1016/j.biortech.2026.134241,https://doi.org/10.1016/j.biortech.2026.134241,Elsevier,Bioresource technology,Engineering a bifunctional cellobiose 2-epimerase into an isomerase capable of selective lactulose production.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.biortech.2026.134363,https://doi.org/10.1016/j.biortech.2026.134363,Elsevier,Bioresource technology,Semi-rational design of psychrophilic cellobiose 2-epimerase for improved substrate affinity and enhanced low-temperature epimerization activity.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.biortech.2026.134484,https://doi.org/10.1016/j.biortech.2026.134484,Elsevier,Bioresource technology,Identification of functional hotspots via hybrid nuclear magnetic Resonance-Computational strategy for directed evolution of large enzymes.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.biortech.2026.135302,https://doi.org/10.1016/j.biortech.2026.135302,Elsevier,Bioresource technology,Discovery and engineering of a formate dehydrogenase with enhanced bicarbonate reduction activity.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.biortech.2026.135616,https://doi.org/10.1016/j.biortech.2026.135616,Elsevier,Bioresource technology,Torsion-spring hypothesis guided pocket-hinge synergistic engineering of glutamate dehydrogenase for efficient synthesis of unnatural amino acids.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1002/bit.70150,https://doi.org/10.1002/bit.70150,Wiley,Biotechnology and bioengineering,Engineering of 2-ketoacid Decarboxylases for Production of Isobutanol and Other Fusel Alcohols in Saccharomyces cerevisiae.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,saturation mutagenesis,
2,10.1002/bit.70371,https://doi.org/10.1002/bit.70371,Wiley,Biotechnology and bioengineering,Enhancing d-Pantothenic Acid Production in Corynebacterium glutamicum via Integrating Dynamic Regulation With Structure-Guided Protein Engineering of Ketopantoate Reductase.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,saturation mutagenesis; alanine scanning; alanine scan,
2,10.1002/cbic.70392,https://doi.org/10.1002/cbic.70392,Wiley,Chembiochem : a European journal of chemical biology,Mutant-Initiated Structure-Guided Refinement Enables Second-Generation Compact IscB Genome Editors.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,saturation mutagenesis,
2,10.1002/cbic.70468,https://doi.org/10.1002/cbic.70468,Wiley,Chembiochem : a European journal of chemical biology,Density Functional Theory Charge Delocalization Error Determines Computed Activation Barriers in Enzymatic Kemp Elimination.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,fitness landscape,
2,10.1039/d6sc04510c,https://doi.org/10.1039/d6sc04510c,RSC,Chemical science,Creating a non-native bio-amidation activity in asparagine synthetase &lt;i&gt;via&lt;/i&gt; biosensor-guided directed evolution for the synthesis of (&lt;i&gt;S&lt;/i&gt;)-2-aminobutyramide.,article PDF + all supplementary data files,the Supplementary information link near the top of the article,saturation mutagenesis,
2,10.1002/chem.71224,https://doi.org/10.1002/chem.71224,Wiley,"Chemistry (Weinheim an der Bergstrasse, Germany)",Improving the Activity of Phi29 DNA Polymerase by SaProt Prediction.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,saturation mutagenesis,
2,10.1016/j.ijbiomac.2025.149737,https://doi.org/10.1016/j.ijbiomac.2025.149737,Elsevier,International journal of biological macromolecules,Development of a highly functional thermostable D-amino acid oxidase for efficient L-phosphinothricin biosynthesis using ProteinMPNN-guided engineering.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.ijbiomac.2026.150336,https://doi.org/10.1016/j.ijbiomac.2026.150336,Elsevier,International journal of biological macromolecules,Directed evolution of an NAD-preferring shikimate dehydrogenase mutant for enhanced catalytic efficiency.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.ijbiomac.2026.150551,https://doi.org/10.1016/j.ijbiomac.2026.150551,Elsevier,International journal of biological macromolecules,Distal design improves thermostability and enzyme activity of type III tyrosinase from Nitrosospira.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",mutant library,
2,10.1016/j.ijbiomac.2026.151408,https://doi.org/10.1016/j.ijbiomac.2026.151408,Elsevier,International journal of biological macromolecules,Engineering UvsY solubility through local hydrophobic cluster disruption enables enhanced recombination mediator activity.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.ijbiomac.2026.151855,https://doi.org/10.1016/j.ijbiomac.2026.151855,Elsevier,International journal of biological macromolecules,Cooperative engineering of distal and proximal domains in L-alanine dehydrogenase breaks activity-stability trade-off for efficient hydroxypyruvic acid synthesis.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.ijbiomac.2026.152971,https://doi.org/10.1016/j.ijbiomac.2026.152971,Elsevier,International journal of biological macromolecules,"Mining, enzymatic characterisation and mutagenesis of tagatose 4-epimerase.",article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.ijbiomac.2026.152974,https://doi.org/10.1016/j.ijbiomac.2026.152974,Elsevier,International journal of biological macromolecules,Reprogramming chitosanase specificity via a structure-guided engineering and high-throughput screening platform.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1016/j.ijbiomac.2026.154348,https://doi.org/10.1016/j.ijbiomac.2026.154348,Elsevier,International journal of biological macromolecules,An integrated engineering strategy enhances expression and activity of Pseudonocardia thermophila nitrile hydratase in Escherichia coli.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
2,10.1021/acs.jafc.5c13228,https://doi.org/10.1021/acs.jafc.5c13228,ACS,Journal of agricultural and food chemistry,Molecular Modification of Ribitol Dehydrogenase and Efficient Catalysis of D-Psicose to Allitol.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.5c13228,saturation mutagenesis,
2,10.1021/acs.jafc.5c14563,https://doi.org/10.1021/acs.jafc.5c14563,ACS,Journal of agricultural and food chemistry,Directed Evolution Boosts UGT85A1 Glycosylation for Enhanced Phenylethanoid Glucoside Production.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.5c14563,saturation mutagenesis,
2,10.1021/acs.jafc.5c17759,https://doi.org/10.1021/acs.jafc.5c17759,ACS,Journal of agricultural and food chemistry,Multidimensional Engineering Delivers a High-Performance C11α-Steroid Hydroxylase for Practical Application.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.5c17759,saturation mutagenesis,
2,10.1021/acs.jafc.6c00566,https://doi.org/10.1021/acs.jafc.6c00566,ACS,Journal of agricultural and food chemistry,"A Combinatorial Strategy of Semirational Screening and Rational Design for Engineering an α-1,2-Fucosyltransferase toward Efficient 2'-Fucosyllactose Biosynthesis.",article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c00566,saturation mutagenesis,
2,10.1021/acs.jafc.6c03371,https://doi.org/10.1021/acs.jafc.6c03371,ACS,Journal of agricultural and food chemistry,High-Throughput Screening and Mechanistic Elucidation of RhlA Mutants for Enhanced Rhamnolipid Biosynthesis Guided by EGCA-Net and Molecular Dynamics Simulations.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c03371,mutant library,
2,10.1021/acs.jafc.6c05870,https://doi.org/10.1021/acs.jafc.6c05870,ACS,Journal of agricultural and food chemistry,Active Pocket Remodeling Coupled with Substrate Tunnel Engineering of ω-Transaminase CC1012 for Efficient Synthesis of (S)-1-Boc-3-aminopiperidine.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c05870,saturation mutagenesis,
2,10.1038/s41467-026-76200-4,https://doi.org/10.1038/s41467-026-76200-4,Nature,Nature communications,Biosynthetic mechanism and ecological function of chirality in Solanum steroidal alkaloids.,article PDF + all supplementary data files,"the Supplementary information section low on the article page, plus any Source Data links under the figure captions",site-saturation; saturation mutagenesis,
2,10.1073/pnas.2609822123,https://doi.org/10.1073/pnas.2609822123,PNAS,Proceedings of the National Academy of Sciences of the United States of America,A two-factor authentication mechanism licenses pilins for pilus assembly in gram-positive bacteria.,article PDF + all supplementary data files,Supporting Information: the SI Appendix and each Dataset S1..SN,deep mutational scan; mutational scanning,
3,10.1021/acsami.6c10190,https://doi.org/10.1021/acsami.6c10190,ACS,ACS applied materials & interfaces,High-Throughput Screening of Single-Atom Catalyst Coordination Environment Regulation for CO2 Reduction Reactions.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acsami.6c10190,high-throughput screen,
3,10.1021/acssynbio.6c00195,https://doi.org/10.1021/acssynbio.6c00195,ACS,ACS synthetic biology,Dual-Layer Engineering of Heparin 6-&lt;i&gt;O&lt;/i&gt;-Sulfotransferase: PROSS-Guided Design Meets Synonymous Rare-Codon Replacement.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acssynbio.6c00195,high-throughput screen,
3,10.1021/acssynbio.6c00300,https://doi.org/10.1021/acssynbio.6c00300,ACS,ACS synthetic biology,Microbial Synthesis of Daphnetin by Engineering 2-Oxoglutarate-Dependent Dioxygenases.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acssynbio.6c00300,high-throughput screen,
3,10.1002/advs.77040,https://doi.org/10.1002/advs.77040,Wiley,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Machine Learning of Temperature-Dependent Chemical Kinetics Using Parallel Droplet Microreactors.,article PDF + all supplementary data files,the Supporting Information section at the foot of the article page,massively parallel,
3,10.1021/acs.analchem.6c02164,https://doi.org/10.1021/acs.analchem.6c02164,ACS,Analytical chemistry,High-Throughput Screening of Isomeric Reaction Products by Droplet Microfluidics Coupled to Cyclic Ion Mobility-Mass Spectrometry.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.analchem.6c02164,high-throughput screen,
3,10.1016/j.abb.2026.110828,https://doi.org/10.1016/j.abb.2026.110828,Elsevier,Archives of biochemistry and biophysics,A ninhydrin-based colorimetric assay for monitoring (S)-Norcoclaurine synthase activity through dopamine quantification.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",high-throughput screen,
3,10.1016/j.biortech.2025.133876,https://doi.org/10.1016/j.biortech.2025.133876,Elsevier,Bioresource technology,Engineering 7β-HSDH_Osp for enhanced catalytic efficiency: Advancing sustainable biosynthesis of ursodeoxycholic acid.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis,
3,10.1016/j.biortech.2026.134249,https://doi.org/10.1016/j.biortech.2026.134249,Elsevier,Bioresource technology,Directed evolution of an integral membrane monooxygenase unlocks its full potential.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",screened a library,
3,10.1016/j.bios.2026.118478,https://doi.org/10.1016/j.bios.2026.118478,Elsevier,Biosensors & bioelectronics,Design and construction of a novel transcription factor-based glycine biosensor for directed enzyme evolution in Escherichia coli.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",high-throughput screen,
3,10.1016/j.bios.2026.118686,https://doi.org/10.1016/j.bios.2026.118686,Elsevier,Biosensors & bioelectronics,Stepwise engineering of AmpR-based whole-cell biosensors for broad-spectrum detection and high-throughput screening of β-lactam compounds.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",high-throughput screen,
3,10.1186/s13068-026-02776-0,https://doi.org/10.1186/s13068-026-02776-0,BMC,Biotechnology for biofuels and bioproducts,Engineering of a LysG-derived arginine-specific biosensor for high-throughput screening of arginine overproducers in Corynebacterium glutamicum.,article PDF + all supplementary data files,the Additional files section (usually open access),high-throughput screen,
3,10.2174/0113892010481219260630203205,https://doi.org/10.2174/0113892010481219260630203205,publisher,Current pharmaceutical biotechnology,"Individualized Biochemical Profiling in Drug Design: Integrating MultiOmics, Nanotechnology, and Machine Learning.",article PDF + all supplementary data files,the article's supplementary section,high-throughput screen,
3,10.2174/0113892037464437260521205540,https://doi.org/10.2174/0113892037464437260521205540,publisher,Current protein & peptide science,Recent developments in intein-mediated protein splicing and their applications in bioengineering.,article PDF + all supplementary data files,the article's supplementary section,high-throughput screen,
3,10.1016/j.enzmictec.2025.110798,https://doi.org/10.1016/j.enzmictec.2025.110798,Elsevier,Enzyme and microbial technology,Mechanistic investigation of the enhanced catalytic activity of B. sub lipase A mutant I157V and its application in biodiesel production.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",high-throughput screen,
3,10.3389/fmicb.2026.1884071,https://doi.org/10.3389/fmicb.2026.1884071,Frontiers,Frontiers in microbiology,"Screening of mutants, enzymatic properties, and scale-up fermentation for catalysis of naringin using recombinant &lt;i&gt;α&lt;/i&gt;-L-rhamnosidase.",article PDF + all supplementary data files,the Supplementary Material section (open access),high-throughput screen,
3,10.1021/acs.jafc.5c12067,https://doi.org/10.1021/acs.jafc.5c12067,ACS,Journal of agricultural and food chemistry,"High-Level De Novo Biosynthesis of Difucosyllactose in &lt;i&gt;Escherichia coli&lt;/i&gt; through Application and Engineering of a Novel α-1,3-Fucosyltransferase.",article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.5c12067,high-throughput screen,
3,10.1021/acs.jafc.5c14135,https://doi.org/10.1021/acs.jafc.5c14135,ACS,Journal of agricultural and food chemistry,A Toxin-Antitoxin-Driven Biosensor Platform for the Directed Evolution of d-Allulose 3-Epimerase.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.5c14135,high-throughput screen,
3,10.1021/acs.jafc.6c00815,https://doi.org/10.1021/acs.jafc.6c00815,ACS,Journal of agricultural and food chemistry,Engineering Tryptophan Synthase via In Vivo Directed Evolution for High-Level l-Cysteine Production.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c00815,high-throughput screen,
3,10.1021/acs.jafc.6c06845,https://doi.org/10.1021/acs.jafc.6c06845,ACS,Journal of agricultural and food chemistry,Multidimensional Computational Engineering of Pectate Lyase for Enhanced Thermostability and Moderately Improved Catalytic Efficiency.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.jafc.6c06845,saturation mutagenesis,
3,10.1021/jacs.5c19988,https://doi.org/10.1021/jacs.5c19988,ACS,Journal of the American Chemical Society,Elucidating Leader Peptide-Enzyme Dynamics in Lactazole Biosynthesis Using mRNA Display.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/jacs.5c19988,saturation mutagenesis,
3,10.1021/acs.langmuir.5c06158,https://doi.org/10.1021/acs.langmuir.5c06158,ACS,Langmuir : the ACS journal of surfaces and colloids,3d-Transition Metal Doped Axially Coordinated Phthalocyanine Molecules as Highly Active Electrocatalysts for Oxygen Evolution/Reduction Reactions: A Machine Learning and DFT Study.,article PDF + all supplementary data files,the Supporting Information box on the article page; also at pubs.acs.org/doi/suppl/10.1021/acs.langmuir.5c06158,high-throughput screen,
3,10.3390/metabo16010062,https://doi.org/10.3390/metabo16010062,MDPI,Metabolites,Enhancing Caffeic Acid Production in Escherichia coli Through Heterologous Enzyme Combinations and Semi-Rational Design.,article PDF + all supplementary data files,the Supplementary Materials link (usually open access),saturation mutagenesis,
3,10.3390/microorganisms14040856,https://doi.org/10.3390/microorganisms14040856,MDPI,Microorganisms,Rigidifying Flexible Regions of a Bacterial Laccase Enables High-Temperature Aflatoxin B1 Degradation.,article PDF + all supplementary data files,the Supplementary Materials link (usually open access),saturation mutagenesis,
3,10.1093/molbev/msag204,https://doi.org/10.1093/molbev/msag204,Oxford UP,Molecular biology and evolution,Redesign of energetically frustrated regions rescues function in defective T4 clamp loaders.,article PDF + all supplementary data files,the Supplementary data link on the article page,saturation mutagenesis,
3,10.1007/s11030-025-11287-3,https://doi.org/10.1007/s11030-025-11287-3,Springer,Molecular diversity,"Unveiling molecular signatures for precision drug design: machine learning insights from trypanothione reductase, PKC-θ, and CB1.",article PDF + all supplementary data files,the Supplementary Information section at the foot of the page,high-throughput screen,
3,10.1038/s41587-026-03272-4,https://doi.org/10.1038/s41587-026-03272-4,Nature,Nature biotechnology,Adaptive model-guided protein evolution with sparse data optimizes compact eukaryotic genome editors.,article PDF + all supplementary data files,"the Supplementary information section low on the article page, plus any Source Data links under the figure captions",fitness landscape,
3,10.1038/s41589-026-02275-1,https://doi.org/10.1038/s41589-026-02275-1,Nature,Nature chemical biology,Using enantioselective biosensors to evolve asymmetric biocatalysts.,article PDF + all supplementary data files,"the Supplementary information section low on the article page, plus any Source Data links under the figure captions",site-saturation,
3,10.1038/s41467-026-75283-3,https://doi.org/10.1038/s41467-026-75283-3,Nature,Nature communications,An enzyme-specific protein language model for catalytic property prediction.,article PDF + all supplementary data files,"the Supplementary information section low on the article page, plus any Source Data links under the figure captions",sequence-function;high-throughput screen,
3,10.1038/s41467-026-75484-w,https://doi.org/10.1038/s41467-026-75484-w,Nature,Nature communications,Towards an enzyme cascade synthesis of the bulk chemical acrylic acid.,article PDF + all supplementary data files,"the Supplementary information section low on the article page, plus any Source Data links under the figure captions",high-throughput screen,
3,10.1016/j.xplc.2026.102088,https://doi.org/10.1016/j.xplc.2026.102088,Elsevier,Plant communications,A computational framework integrating a protein language model with alchemical simulation for gain-of-function enzyme design.,article PDF + all supplementary data files,"Appendix A. Supplementary material, at the foot of the article on ScienceDirect",saturation mutagenesis; mutational landscape,
3,10.1093/protein/gzag015,https://doi.org/10.1093/protein/gzag015,Oxford UP,"Protein engineering, design & selection : PEDS",Free energy-guided Q302P mutation in GH1 β-glucosidase from Aspergillus fumigatus improves enzyme function via catalytic tunnel perturbation.,article PDF + all supplementary data files,the Supplementary data link on the article page,mutant library,
3,10.13345/j.cjb.250384,https://doi.org/10.13345/j.cjb.250384,publisher,Sheng wu gong cheng xue bao = Chinese journal of biotechnology,[Directed evolution of cellobiose 2-epimerase and its application in the synthesis of lactulose].,article PDF + all supplementary data files,the article's supplementary section,saturation mutagenesis; variant library,
